iter,elapsed_s,best_obj,curr_obj,alpha,selected_orders,gap_abs,gap_pct
547,1.093,26489,25840,0.05,87,690,2.539
548,1.096,26489,24875,0.5,88,690,2.539
549,1.097,26489,25089,0.05,88,690,2.539
550,1.1,26489,25304,0.2,87,690,2.539
551,1.1,26489,24393,0.2,87,690,2.539
552,1.103,26489,24757,0.05,87,690,2.539
553,1.104,26489,24766,0.5,88,690,2.539
554,1.105,26489,25385,0.1,87,690,2.539
555,1.108,26489,24908,0.5,87,690,2.539
556,1.11,26489,26290,0.1,88,690,2.539
557,1.11,26489,25588,0.2,87,690,2.539
558,1.114,26489,24677,0.35,88,690,2.539
559,1.117,26489,26063,0.05,87,690,2.539
560,1.119,26489,24570,0.35,87,690,2.539
561,1.12,26489,24897,0.35,87,690,2.539
562,1.121,26489,25173,0.35,88,690,2.539
563,1.124,26489,25136,0.35,88,690,2.539
564,1.125,26489,26054,0.05,88,690,2.539
565,1.126,26489,25823,0.5,88,690,2.539
566,1.128,26489,25128,0.05,87,690,2.539
567,1.132,26489,24717,0.35,87,690,2.539
568,1.134,26489,26118,0.5,87,690,2.539
569,1.136,26489,25206,0.2,88,690,2.539
570,1.139,26489,26355,0.35,87,690,2.539
